תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %
27.02.2026,28.14,25.9,28.41,25.11,,8.65%
26.02.2026,25.9,23.93,26.17,23.93,,8.23%
25.02.2026,23.93,24.42,25.08,23.38,,-2.01%
24.02.2026,24.42,21.99,24.6,21.99,,11.05%
23.02.2026,21.99,20.47,28.87,20.47,,7.43%
20.02.2026,20.47,21.93,23.24,17.89,,-6.66%
19.02.2026,21.93,19.24,22.31,19.24,,13.98%
18.02.2026,19.24,18.13,19.58,17.46,,6.12%
17.02.2026,18.13,18.79,19.45,17.4,,7.34%
16.02.2026,16.89,18.57,18.74,16.31,,6.16%
13.02.2026,15.91,15.78,17.87,15.78,,0.82%
12.02.2026,15.78,18.03,18.69,15.18,,-10.70%
11.02.2026,17.67,16.43,18.75,16.43,,7.55%
10.02.2026,16.43,20,20,15.86,,-12.88%
09.02.2026,18.86,20.79,20.91,17.51,,-12.28%
06.02.2026,21.5,21.77,23.66,20.7,,-1.24%
05.02.2026,21.77,19.59,22.15,18.93,,16.92%
04.02.2026,18.62,19.34,20.22,17.9,,-3.72%
03.02.2026,19.34,22.09,22.09,17.99,,-12.45%
02.02.2026,22.09,25.25,26.69,21.71,,-6.83%
